Year:year,"Austre Broeggerbreen (Svalbard, Norway):number",Nigardsbreen (Norway):number,Aalfotbreen (Norway):number,Engabreen (Norway):number,Storbreen (Norway):number,Storglaciaeren (Sweden):number,Saint Sorlin (France):number,Sarennes (France):number,Gries (Switzerland):number,Vernagt Ferner (Austria):number,Hintereis Ferner (Austria):number,Careser (Italy):number,Maladeta (Spain):number,Hofsjökull N (Iceland):number
1945,,,,,,0,,,,,,,,
1946,,,,,,-1130,,,,,,,,
1947,,,,,,-3190,,,,,,,,
1948,,,,,0,-3190,,0,,,,,,
1949,,,,,200,-2290,,-2990,,,,,,
1950,,,,,-90,-3580,,-4610,,,,,,
1951,,,,,-630,-4230,,-4410,,,,,,
1952,,,,,-320,-4390,,-6030,,,0,,,
1953,,,,,-1170,-5200,,-6670,,,-540,,,
1954,,,,,-1940,-6170,,-7220,,,-826,,,
1955,,,,,-2430,-6330,,-6560,,,-750,,,
1956,,,,,-2600,-6810,0,-7160,,,-1025,,,
1957,,,,,-2550,-7130,-360,-7680,,,-1214,,,
1958,,,,,-2630,-7780,-330,-8350,,,-2195,,,
1959,,,,,-3910,-8750,-1540,-9610,,,-2958,,,
1960,,,,,-5000,-10360,-1870,-9490,,,-3020,,,
1961,,0,,,-5520,-11460,-1760,-9880,0,,-3225,,,
1962,,2250,0,,-4800,-11140,-2860,-10790,-984,,-3921,,,
1963,,2030,-1100,,-5980,-11330,-2590,-10600,-1164,,-4524,,,
1964,,2980,-820,,-5770,-10840,-4240,-12430,-1852,0,-5768,,,
1965,,3890,-340,,-5430,-10410,-3780,-12400,-1407,751,-4843,,,
1966,0,2970,-1950,,-6040,-10940,-3080,-11980,-1764,1383,-4499,0,,
1967,-650,5130,-670,,-5320,-11170,-3540,-12390,-1735,1466,-4479,-390,,
1968,-750,5350,280,,-5270,-11270,-2730,-12050,-1356,1767,-4141,-130,,
1969,-1680,4040,-1890,0,-6690,-12310,-2290,-12410,-623,1460,-4572,-130,,
1970,-2220,3480,-3120,-990,-7410,-13830,-2160,-12820,-1381,1236,-5124,-760,,
1971,-2800,4300,-2180,20,-7230,-14020,-3010,-13920,-1908,812,-5724,-1410,,
1972,-3110,4160,-2290,-50,-7540,-15070,-3250,-14290,-1500,949,-5798,-1010,,
1973,-3190,5260,-110,2670,-7460,-15020,-4010,-15160,-2595,489,-7027,-2290,,
1974,-4110,5740,920,3470,-7220,-15360,-4830,-16760,-2773,719,-6972,-2610,,
1975,-4420,6010,2130,5080,-7370,-14190,-4550,-16650,-2395,890,-6907,-2440,,
1976,-4870,6410,3660,7490,-7460,-13920,-5960,-18720,-3416,940,-7221,-2710,,
1977,-4980,5640,3100,8370,-8000,-13720,-4630,-17730,-2250,1292,-6461,-1720,,
1978,-5540,5510,2590,7860,-8440,-13800,-3770,-17180,-1194,1580,-6050,-1640,,
1979,-6250,6220,2460,8280,-8540,-14010,-3540,-17290,-2079,1624,-6269,-1820,,
1980,-6770,5000,1850,7780,-9850,-15280,-2630,-16970,-1509,1764,-6319,-1810,,
1981,-7320,5310,2070,8760,-9950,-15470,-2430,-16930,-1833,1709,-6492,-2650,,
1982,-7360,4890,1940,9600,-10420,-15210,-2890,-17030,-3137,864,-7732,-4330,,
1983,-7630,5980,3540,10660,-10220,-14930,-3030,-17100,-3916,327,-8312,-5120,,
